source,id,name,url
UniProt,A1A4S6,Rho GTPase-activating protein 10,https://www.uniprot.org/uniprotkb/A1A4S6
UniProt,A6NGN9,IgLON family member 5,https://www.uniprot.org/uniprotkb/A6NGN9
UniProt,F4KHD8,Nuclear pore complex protein GP210,https://www.uniprot.org/uniprotkb/F4KHD8
UniProt,O00300,Tumor necrosis factor receptor superfamily member 11B,https://www.uniprot.org/uniprotkb/O00300
UniProt,O00515,Ladinin-1,https://www.uniprot.org/uniprotkb/O00515
UniProt,O00555,Voltage-dependent P/Q-type calcium channel subunit alpha-1A,https://www.uniprot.org/uniprotkb/O00555
UniProt,O00570,Transcription factor SOX-1,https://www.uniprot.org/uniprotkb/O00570
UniProt,O14802,DNA-directed RNA polymerase III subunit RPC1,https://www.uniprot.org/uniprotkb/O14802
UniProt,O15146,"Muscle, skeletal receptor tyrosine-protein kinase",https://www.uniprot.org/uniprotkb/O15146
UniProt,O15230,Laminin subunit alpha-5,https://www.uniprot.org/uniprotkb/O15230
UniProt,O43776,"Asparagine--tRNA ligase, cytoplasmic",https://www.uniprot.org/uniprotkb/O43776
UniProt,O43854,EGF-like repeat and discoidin I-like domain-containing protein 3,https://www.uniprot.org/uniprotkb/O43854
UniProt,O60240,Perilipin-1,https://www.uniprot.org/uniprotkb/O60240
UniProt,O60437,Periplakin,https://www.uniprot.org/uniprotkb/O60437
UniProt,O60806,T-box transcription factor TBX19,https://www.uniprot.org/uniprotkb/O60806
UniProt,O75899,Gamma-aminobutyric acid type B receptor subunit 2,https://www.uniprot.org/uniprotkb/O75899
UniProt,O94856,Neurofascin,https://www.uniprot.org/uniprotkb/O94856
UniProt,O95363,"Phenylalanine--tRNA ligase, mitochondrial",https://www.uniprot.org/uniprotkb/O95363
UniProt,O95932,Protein-glutamine gamma-glutamyltransferase 6,https://www.uniprot.org/uniprotkb/O95932
UniProt,O95954,Formimidoyltransferase-cyclodeaminase,https://www.uniprot.org/uniprotkb/O95954
UniProt,O95970,Leucine-rich glioma-inactivated protein 1,https://www.uniprot.org/uniprotkb/O95970
UniProt,P00451,Coagulation factor VIII,https://www.uniprot.org/uniprotkb/P00451
UniProt,P00488,Coagulation factor XIII A chain,https://www.uniprot.org/uniprotkb/P00488
UniProt,P00734,Prothrombin,https://www.uniprot.org/uniprotkb/P00734
UniProt,P00738,Haptoglobin,https://www.uniprot.org/uniprotkb/P00738
UniProt,P00740,Coagulation factor IX,https://www.uniprot.org/uniprotkb/P00740
UniProt,P00742,Coagulation factor X,https://www.uniprot.org/uniprotkb/P00742
UniProt,P00747,Plasminogen,https://www.uniprot.org/uniprotkb/P00747
UniProt,P00915,Carbonic anhydrase 1,https://www.uniprot.org/uniprotkb/P00915
UniProt,P00918,Carbonic anhydrase 2,https://www.uniprot.org/uniprotkb/P00918
UniProt,P01042,Kininogen-1,https://www.uniprot.org/uniprotkb/P01042
UniProt,P01189,Pro-opiomelanocortin,https://www.uniprot.org/uniprotkb/P01189
UniProt,P01266,Thyroglobulin,https://www.uniprot.org/uniprotkb/P01266
UniProt,P01308,Insulin,https://www.uniprot.org/uniprotkb/P01308
UniProt,P01375,Tumor necrosis factor,https://www.uniprot.org/uniprotkb/P01375
UniProt,P01563,Interferon alpha-2,https://www.uniprot.org/uniprotkb/P01563
